,0,1,2,3,4,5,6,7,8
0,1.0,0.0,0.0,1.0,9.84,14.395,81.0,0.0,3.0
1,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,8.0
2,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,5.0
3,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,3.0
4,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,0.0
5,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0
6,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0
7,1.0,0.0,0.0,1.0,8.2,12.88,86.0,0.0,1.0
8,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0
9,1.0,0.0,0.0,1.0,13.12,17.425,76.0,0.0,8.0
10,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0
11,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0
12,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0
13,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0
14,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0
15,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0
16,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0
17,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0
18,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0
19,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0
20,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0
21,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0
22,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0
23,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0
24,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0
25,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0
26,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0
27,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0
28,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0
29,1.0,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0
30,1.0,0.0,0.0,2.0,16.4,20.455,76.0,12.998,0.0
31,1.0,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,0.0
